Cod;Cargo
3653;COORD. DA CENTRAL DE REGULAÇÃO
3654;COORD. DE TFD
3655;COORD. DE ADM. DE PESSOAL
3656;COORD. DE ALMOXARIFADO E PATRIMONIO
3657;COORD. DE TRANSPORTE
3658;COORD. DE LABORATORIO
3659;COORD. DO PROGRAMA SAUDE NA ESCOLA
3660;COORD. DO E_SUS E CARTAO SUS
3661;COORD. DE SERVIÇO SOCIAL
3662;COORD. EXTRA MURO
3663;COORD. DE ESTRAT. SAUDE DA FAMILIA
3665;COORD. DE APOIO
3666;GERENTE DO CAPS III
3667;COORD. DE LICITAÇÃO E COMPRAS
3668;COORD. SAUDE DO IDOSO, HOMEM E TABAGISMO
3672;MEDICO DO TRABALHO
3673;ENFERMEIRO(A) DO TRABALHO
3674;ENFERMEIRO(A) OBSTETRA
3675;MOTORISTA - C
3676;MOTORISTA - D
3677;COORD.DE SAUDE MENTAL
3679;TEC. ENFERM. INSTRUMENTADOR CIRURGICO
3680;TEC. EM ENFERM. SEG. NO TRABALHO
3681;COORD. DE IMUNIZAÇÃO
3682;AUXILIAR DE FARMACIA
3684;COORD. ASSIST. FARMACEUTICA
3687;TECNOLOGO DE ALIMENTOS
3696;COORD. DE VIGILANCIA EPIDEMIOLOGICA
3704;COORD. DE GABINETE
3705;COORD. DE VIGIL. SAUDE DO TRABALHADOR
3710;COORD. DE SAMU-192
3714;MOTORISTA_CONTRATADO
3716;TEC.ENFERM_CONTRATADO
3717;NUTRICIONISTA_CONTRATADO
3718;ENFERMEIRO(A)_CONTRATADO
3719;MEDICO CIRUGIAO_CONTRATADO
3720;MEDICO CLINICO_CONTRATADO
3721;ODONTOLOGO(A)_CONTRATADO
3722;PSICOLOGO(A)_CONTRATADO
3723;AG.SERV.GERAIS_CONTRATADO
3725;TEC.RADIOLOGIA_CONTRATADO
3726;MOTORISTA - D_CONTRATADO
3727;AUXILIAR EM SAUDE BUCAL_CONTRATADO
3728;AG.PORTARIA CONTRATADO
3729;MEDICO UROLOGISTA_CONTRATADO
3730;TERAPEUTA OCUPACIONAL_CONTRATADO
3733;MEDICO GINECOLOGISTA OBSTETRA_CONTRATADO
3737;ASS.ADMINISTRATIVO_CONTRATADO
3738;TEC.RADIOLOGIA_CONTRATADO
